publish_date,headline_category,headline_text
20201022,sports.wwe,win over cena satisfying but defeating undertaker bigger roman reigns
20201023,unknown,Status quo will not be disturbed at Ayodhya; says Vajpayee
20201023,unknown,Fissures in Hurriyat over Pak visit
20201023,unknown,America's unwanted heading for India?
20201023,unknown,For bigwigs; it is destination Goa
20201023,unknown,Extra buses to clear tourist traffic
20201023,unknown,Dilute the power of transfers; says Riberio
20201023,unknown,Focus shifts to teaching of Hindi
20201023,unknown,IT will become compulsory in schools
20201023,unknown,Move to stop freedom fighters' pension flayed
20201023,unknown,Gilani claims he applied for passport 2 years ago
20201023,unknown,Parivar dismisses PM's warning
20201023,unknown,India; Pak exchange lists of N-plants
20201023,unknown,Will Qureshi's return really help the govt?
20201023,unknown,PM's tacit message: Put Ram tample on hold
20201023,unknown,Text of the Prime Minister's article
20201023,unknown,NCW to focus on violence against women
20201023,unknown,BBC's reality TV will focus on AIIMS
20201023,unknown,Jaitley firm on legal reforms
20201023,unknown,Hoshangabad farmers have enough water
20201023,unknown,BJP jumps into rail track conversion issue
20201023,unknown,America's unwanted heading for India?
20201023,unknown,State may take AP to court over Krishna
20201023,unknown,This official has sued the briber
20201023,unknown,Park turns temple compound as residents watch
20201023,unknown,Moves afoot to evict squatters in Urban dist
20201023,unknown,Mafia calls the shots in Gandhinagar too
20201023,unknown,Status quo will not be disturbed at Ayodhya; says Vajpayee
20201023,unknown,Fissures in Hurriyat over Pak visit
20201023,unknown,America's unwanted heading for India?
20201023,unknown,For bigwigs; it is destination Goa
20201023,unknown,Extra buses to clear tourist traffic
20201023,unknown,Dilute the power of transfers; says Riberio
20201023,unknown,Focus shifts to teaching of Hindi
20201023,unknown,IT will become compulsory in schools
20201023,unknown,Move to stop freedom fighters' pension flayed
20201023,unknown,Gilani claims he applied for passport 2 years ago
20201023,unknown,Parivar dismisses PM's warning
20201023,unknown,India; Pak exchange lists of N-plants
20201023,unknown,Will Qureshi's return really help the govt?
20201023,unknown,PM's tacit message: Put Ram tample on hold
20201023,unknown,Text of the Prime Minister's article
20201023,unknown,NCW to focus on violence against women
20201023,unknown,BBC's reality TV will focus on AIIMS
20201023,unknown,Jaitley firm on legal reforms
20201023,unknown,Hoshangabad farmers have enough water
20201023,unknown,BJP jumps into rail track conversion issue
